AcademicYear,Institution,Student Type,DemographicGroup,DemographicValue,DemographicSubgroup,DemographicSubgroupValue,AvgTTD,MedTTD,Number of Degrees
2009-10,University of Washington,All Transfers,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,White,2.16,2,1869
2009-10,University of Washington,All Transfers,Veteran Status,Non-Veteran/Unknown,Sex,Female,2.08,1.92,1817
2009-10,University of Washington,All Transfers,Veteran Status,Non-Veteran/Unknown,Sex,Male,2.27,2.17,1413
2009-10,University of Washington,All Transfers,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Did Not Receive WA College Grant,2.16,1.92,1943
2009-10,University of Washington,All Transfers,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Received WA College Grant,2.16,1.92,1289
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,None,All,2.15,1.92,2013
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.15,2,239
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Black,1.85,1.75,54
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Hispanic,2.35,1.92,100
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Unknown,2.09,1.92,414
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,White,2.16,2,1179
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Female,2.04,1.92,1110
2009-10,University of Washington,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Male,2.29,2.17,902
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,None,All,2.17,1.92,1339
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.3,2.25,229
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Black,2.11,1.92,91
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Hispanic,2.15,1.75,81
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Unknown,2.1,1.92,152
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,White,2.15,1.92,763
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Sex,Female,2.13,1.92,739
2009-10,University of Washington,All Transfers,Washington College Grant Status,Received WA College Grant,Sex,Male,2.21,2.17,599
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,None,All,3.76,3.75,4076
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.85,3.75,987
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Black,3.9,3.75,74
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Hispanic,3.77,3.75,221
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Unknown,3.76,3.75,477
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Race/Ethnicity,White,3.71,3.75,2267
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Sex,Female,3.7,3.75,2256
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Sex,Male,3.83,3.75,1817
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Washington College Grant Status,Did Not Receive WA College Grant,3.75,3.75,3271
2009-10,University of Washington,Direct from High School,Age,<= 24 years old,Washington College Grant Status,Received WA College Grant,3.76,3.75,805
2009-10,University of Washington,Direct from High School,Age,>= 30 years old,None,All,2.73,1.75,32
2009-10,University of Washington,Direct from High School,Age,25-29 years old,None,All,3.43,2.25,140
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.45,2.17,45
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Race/Ethnicity,Unknown,3.95,3.75,16
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Race/Ethnicity,White,3.25,2.25,59
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Sex,Female,3.14,1.92,54
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Sex,Male,3.61,2.5,86
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Washington College Grant Status,Did Not Receive WA College Grant,3.68,2.25,98
2009-10,University of Washington,Direct from High School,Age,25-29 years old,Washington College Grant Status,Received WA College Grant,2.85,2.25,42
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,None,All,3.79,3.75,4067
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.9,3.75,980
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Black,4.07,3.75,73
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Hispanic,3.76,3.75,220
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Unknown,3.78,3.75,485
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,White,3.73,3.75,2258
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Sex,Female,3.73,3.75,2230
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Sex,Male,3.87,3.75,1834
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Washington College Grant Status,Did Not Receive WA College Grant,3.8,3.75,3247
2009-10,University of Washington,Direct from High School,FT/PT Status,Full-Time,Washington College Grant Status,Received WA College Grant,3.76,3.75,820
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,None,All,2.6,2.5,181
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.56,2.58,56
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,Race/Ethnicity,White,2.46,2.25,88
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,Sex,Female,2.71,2.75,93
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,Sex,Male,2.49,2,88
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,Washington College Grant Status,Did Not Receive WA College Grant,2.63,2.5,140
2009-10,University of Washington,Direct from High School,FT/PT Status,Part-Time,Washington College Grant Status,Received WA College Grant,2.53,2.58,41
2009-10,University of Washington,Direct from High School,None (All Students),All,None,All,3.74,3.75,4248
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,None,All,3.74,3.75,3321
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.82,3.75,685
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Black,3.91,3.75,39
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Hispanic,3.73,3.75,147
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Unknown,3.77,3.75,426
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,White,3.71,3.75,1983
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Sex,Female,3.68,3.75,1797
2009-10,University of Washington,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Sex,Male,3.82,3.75,1521
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,None,All,3.72,3.75,927
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.83,3.75,351
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Race/Ethnicity,Black,4.02,3.92,41
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Race/Ethnicity,Hispanic,3.7,3.75,87
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Race/Ethnicity,Unknown,3.71,3.75,72
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Race/Ethnicity,White,3.59,3.75,363
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Sex,Female,3.71,3.75,526
2009-10,University of Washington,Direct from High School,Pell Grant Status,Received Pell Grant,Sex,Male,3.75,3.75,401
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,None,All,3.75,3.75,3235
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.83,3.75,666
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,Black,3.95,3.75,36
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,Hispanic,3.74,3.75,145
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,Unknown,3.76,3.75,421
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,White,3.71,3.75,1928
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Female,3.68,3.75,1742
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Male,3.82,3.75,1490
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,None,All,3.72,3.75,1013
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.82,3.75,370
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,Black,3.98,3.92,44
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,Hispanic,3.68,3.75,89
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,Unknown,3.75,3.75,77
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,White,3.6,3.75,418
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Female,3.69,3.75,581
2009-10,University of Washington,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Male,3.75,3.75,432
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,None,All,3.74,3.75,4248
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,American Indian or Alaska Native (AIAN),3.95,3.75,37
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.83,3.75,1036
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Black,3.97,3.75,80
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Hispanic,3.72,3.75,234
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Unknown,3.76,3.75,498
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,White,3.69,3.75,2346
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Sex,Female,3.69,3.75,2323
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Sex,Male,3.8,3.75,1922
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Washington College Grant Status,Did Not Receive WA College Grant,3.75,3.75,3387
2009-10,University of Washington,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Washington College Grant Status,Received WA College Grant,3.7,3.75,861
2009-10,University of Washington,Direct from High School,Race/Ethnicity,American Indian or Alaska Native (AIAN),None,All,3.95,3.75,37
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,None,All,3.83,3.75,1036
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,Sex,Female,3.78,3.75,571
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,Sex,Male,3.89,3.75,465
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,Washington College Grant Status,Did Not Receive WA College Grant,3.84,3.75,724
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,Washington College Grant Status,Received WA College Grant,3.79,3.75,312
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Black,None,All,3.97,3.75,80
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Black,Sex,Female,4.14,3.75,47
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Black,Sex,Male,3.73,3.75,33
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Black,Washington College Grant Status,Did Not Receive WA College Grant,3.89,3.75,44
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Black,Washington College Grant Status,Received WA College Grant,4.07,3.92,36
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Hispanic,None,All,3.72,3.75,234
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Hispanic,Sex,Female,3.61,3.75,143
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Hispanic,Sex,Male,3.88,3.75,90
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Hispanic,Washington College Grant Status,Did Not Receive WA College Grant,3.73,3.75,156
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Hispanic,Washington College Grant Status,Received WA College Grant,3.7,3.75,78
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Unknown,None,All,3.76,3.75,498
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Unknown,Sex,Female,3.74,3.75,257
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Unknown,Sex,Male,3.78,3.75,240
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Unknown,Washington College Grant Status,Did Not Receive WA College Grant,3.77,3.75,439
2009-10,University of Washington,Direct from High School,Race/Ethnicity,Unknown,Washington College Grant Status,Received WA College Grant,3.7,3.75,59
2009-10,University of Washington,Direct from High School,Race/Ethnicity,White,None,All,3.69,3.75,2346
2009-10,University of Washington,Direct from High School,Race/Ethnicity,White,Sex,Female,3.63,3.75,1277
2009-10,University of Washington,Direct from High School,Race/Ethnicity,White,Sex,Male,3.76,3.75,1069
2009-10,University of Washington,Direct from High School,Race/Ethnicity,White,Washington College Grant Status,Did Not Receive WA College Grant,3.71,3.75,1982
2009-10,University of Washington,Direct from High School,Race/Ethnicity,White,Washington College Grant Status,Received WA College Grant,3.58,3.75,364
2009-10,University of Washington,Direct from High School,Residency,Non-Residents,None,All,3.76,3.75,655
2009-10,University of Washington,Direct from High School,Residency,Non-Residents,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.83,3.75,139
2009-10,University of Washington,Direct from High School,Residency,Non-Residents,Race/Ethnicity,Unknown,3.71,3.75,165
2009-10,University of Washington,Direct from High School,Residency,Non-Residents,Race/Ethnicity,White,3.75,3.75,307
2009-10,University of Washington,Direct from High School,Residency,Non-Residents,Sex,Female,3.75,3.75,369
2009-10,University of Washington,Direct from High School,Residency,Non-Residents,Sex,Male,3.78,3.75,286
2009-10,University of Washington,Direct from High School,Residency,WA Residents,None,All,3.73,3.75,3593
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Race/Ethnicity,American Indian or Alaska Native (AIAN),3.99,3.75,33
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.83,3.75,897
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Race/Ethnicity,Black,3.95,3.75,68
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Race/Ethnicity,Hispanic,3.72,3.75,208
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Race/Ethnicity,Unknown,3.79,3.75,333
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Race/Ethnicity,White,3.68,3.75,2039
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Sex,Female,3.67,3.75,1954
2009-10,University of Washington,Direct from High School,Residency,WA Residents,Sex,Male,3.81,3.75,1636
2009-10,University of Washington,Direct from High School,Sex,Female,None,All,3.69,3.75,2323
2009-10,University of Washington,Direct from High School,Sex,Female,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.78,3.75,571
2009-10,University of Washington,Direct from High School,Sex,Female,Race/Ethnicity,Black,4.14,3.75,47
2009-10,University of Washington,Direct from High School,Sex,Female,Race/Ethnicity,Hispanic,3.61,3.75,143
2009-10,University of Washington,Direct from High School,Sex,Female,Race/Ethnicity,Unknown,3.74,3.75,257
2009-10,University of Washington,Direct from High School,Sex,Female,Race/Ethnicity,White,3.63,3.75,1277
2009-10,University of Washington,Direct from High School,Sex,Female,Washington College Grant Status,Did Not Receive WA College Grant,3.68,3.75,1822
2009-10,University of Washington,Direct from High School,Sex,Female,Washington College Grant Status,Received WA College Grant,3.7,3.75,501
2009-10,University of Washington,Direct from High School,Sex,Male,None,All,3.8,3.75,1922
2009-10,University of Washington,Direct from High School,Sex,Male,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.89,3.75,465
2009-10,University of Washington,Direct from High School,Sex,Male,Race/Ethnicity,Black,3.73,3.75,33
2009-10,University of Washington,Direct from High School,Sex,Male,Race/Ethnicity,Hispanic,3.88,3.75,90
2009-10,University of Washington,Direct from High School,Sex,Male,Race/Ethnicity,Unknown,3.78,3.75,240
2009-10,University of Washington,Direct from High School,Sex,Male,Race/Ethnicity,White,3.76,3.75,1069
2009-10,University of Washington,Direct from High School,Sex,Male,Washington College Grant Status,Did Not Receive WA College Grant,3.83,3.75,1562
2009-10,University of Washington,Direct from High School,Sex,Male,Washington College Grant Status,Received WA College Grant,3.7,3.75,360
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,None,All,3.69,3.75,2966
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,American Indian or Alaska Native (AIAN),3.76,3.75,25
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.79,3.75,654
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,Black,3.96,3.75,65
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,Hispanic,3.61,3.75,184
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,Unknown,3.71,3.75,352
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,White,3.65,3.75,1677
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Sex,Female,3.66,3.75,1786
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Sex,Male,3.74,3.75,1179
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Washington College Grant Status,Did Not Receive WA College Grant,3.71,3.75,2343
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Washington College Grant Status,Received WA College Grant,3.64,3.75,623
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,None,All,3.84,3.75,1282
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.89,3.75,382
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,Black,3.99,3.75,15
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,Hispanic,4.11,3.75,50
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,Unknown,3.88,3.75,146
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,White,3.78,3.75,669
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Sex,Female,3.75,3.75,537
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Sex,Male,3.9,3.75,743
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Washington College Grant Status,Did Not Receive WA College Grant,3.84,3.75,1044
2009-10,University of Washington,Direct from High School,STEM or High Demand Status,STEM or High Demand,Washington College Grant Status,Received WA College Grant,3.85,3.75,238
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,None,All,3.74,3.75,4234
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,American Indian or Alaska Native (AIAN),3.95,3.75,37
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.83,3.75,1033
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Black,3.97,3.75,80
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Hispanic,3.71,3.75,232
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Unknown,3.76,3.75,497
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,White,3.69,3.75,2338
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Sex,Female,3.68,3.75,2321
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Sex,Male,3.81,3.75,1910
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Did Not Receive WA College Grant,3.75,3.75,3380
2018-19,Washington State University,All Transfers,Veteran Status,Non-Veteran/Unknown,Sex,Female,2.7,2.33,1290
2009-10,University of Washington,Direct from High School,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Received WA College Grant,3.71,3.75,854
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,None,All,3.75,3.75,3387
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.84,3.75,724
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Black,3.89,3.75,44
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Hispanic,3.73,3.75,156
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,Unknown,3.77,3.75,439
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,White,3.71,3.75,1982
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Female,3.68,3.75,1822
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Male,3.83,3.75,1562
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,None,All,3.7,3.75,861
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.79,3.75,312
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Black,4.07,3.92,36
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Hispanic,3.7,3.75,78
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,Unknown,3.7,3.75,59
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,White,3.58,3.75,364
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Sex,Female,3.7,3.75,501
2009-10,University of Washington,Direct from High School,Washington College Grant Status,Received WA College Grant,Sex,Male,3.7,3.75,360
2009-10,Washington State University,All Transfers,Age,<= 24 years old,None,All,2.51,2.33,1179
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.42,2.33,68
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Black,2.6,2.33,18
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Hispanic,2.5,2.33,59
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Unknown,2.23,1.92,177
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Race/Ethnicity,White,2.57,2.5,845
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Sex,Female,2.42,2.33,663
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Sex,Male,2.63,2.75,516
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Washington College Grant Status,Did Not Receive WA College Grant,2.49,2.33,795
2009-10,Washington State University,All Transfers,Age,<= 24 years old,Washington College Grant Status,Received WA College Grant,2.56,2.5,384
2009-10,Washington State University,All Transfers,Age,25-29 years old,None,All,3.04,2.75,571
2009-10,Washington State University,All Transfers,Age,25-29 years old,Race/Ethnicity,White,3.03,2.75,386
2009-10,Washington State University,All Transfers,Age,25-29 years old,Sex,Female,3.04,2.75,269
2009-10,Washington State University,All Transfers,Age,25-29 years old,Sex,Male,3.05,2.75,302
2009-10,Washington State University,All Transfers,Age,25-29 years old,Washington College Grant Status,Did Not Receive WA College Grant,3.24,2.75,216
2009-10,Washington State University,All Transfers,Age,25-29 years old,Washington College Grant Status,Received WA College Grant,2.92,2.75,355
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,None,All,2.68,2.33,1831
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.72,2.33,116
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Black,3.42,2.92,45
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Hispanic,2.77,2.33,90
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Unknown,2.42,2.33,281
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,White,2.69,2.33,1272
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Sex,Female,2.58,2.33,987
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Sex,Male,2.8,2.5,844
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Washington College Grant Status,Did Not Receive WA College Grant,2.68,2.33,1005
2009-10,Washington State University,All Transfers,FT/PT Status,Full-Time,Washington College Grant Status,Received WA College Grant,2.68,2.33,826
2009-10,Washington State University,All Transfers,None (All Students),All,None,All,2.8,2.33,2291
